"study_id","short_name","t1","t2","TE","seTE","outcome_scale"
"TOPCOAT_2014","TOPCOAT","ST","AC",-0.0741079721537218,1.43159021701412,"log OR for death at reported follow-up; negative favours t2 over t1"
"ULTIMA_2014","ULTIMA","USCDT","AC",1.16643488500687,1.65364484433956,"log OR for death at reported follow-up; negative favours t2 over t1"
"PEITHO_2014","PEITHO","ST","AC",0.310200935987131,0.387205395373115,"log OR for death at reported follow-up; negative favours t2 over t1"
"CANARY_2022","CANARY","CDT","AC",2.05471300890411,1.52621143625726,"log OR for death at reported follow-up; negative favours t2 over t1"
"PEERLESS_2025","PEERLESS","LBAT","CDT",0.689490869356835,1.22772661399006,"log OR for death at reported follow-up; negative favours t2 over t1"
"HI_PEITHO_2026","HI-PEITHO","USCDT","AC",-0.510825623765991,0.735388346318119,"log OR for death at reported follow-up; negative favours t2 over t1"
"MAPPET3_2002","MAPPET-3","ST","AC",-0.456758402495715,0.774282035543446,"log OR for death at reported follow-up; negative favours t2 over t1"
"FASULLO_2011","Fasullo 2011","ST","AC",2.60450952216137,1.4970877508452,"log OR for death at reported follow-up; negative favours t2 over t1"
"SINHA_2017","Sinha 2017","ST","AC",0.0976384695639161,1.02415664797653,"log OR for death at reported follow-up; negative favours t2 over t1"
"ZHANG_2018","Zhang 2018","ST","AC",0,2.01487009321626,"log OR for death at reported follow-up; negative favours t2 over t1"
